profile_id,from,to,density,note,date
0,0,26,0.39,"By stake MS0 (stake A-94)",1995-04-05
0,26,46.5,0.43,"By stake MS0 (stake A-94)",1995-04-05
0,46.5,68.5,0.41,"By stake MS0 (stake A-94)",1995-04-05
0,68.5,90.5,0.45,"By stake MS0 (stake A-94)",1995-04-05
0,90.5,126,0.47,"By stake MS0 (stake A-94)",1995-04-05
0,126,183,0.47,"By stake MS0 (stake A-94)",1995-04-05
0,183,209.5,0.43,"By stake MS0 (stake A-94)",1995-04-05
0,209.5,213.5,0.53,"By stake MS0 (stake A-94)",1995-04-05
0,213.5,235.5,0.57,"By stake MS0 (stake A-94). Summer surface",1995-04-05
0,235.5,245.5,0.84,"By stake MS0 (stake A-94)",1995-04-05
0,245.5,271.5,0.59,"By stake MS0 (stake A-94)",1995-04-05
